id,title,language,category,section,text
hr_attendance,سياسة الدوام والحضور,ar,hr,نظرة عامة,يجب على جميع الموظفين الالتزام بساعات العمل الرسمية وسياسة الحضور المعتمدة في الشركة، ويتم تسجيل الحضور والانصراف من خلال نظام إدارة الحضور.
hr_attendance,سياسة الدوام والحضور,ar,hr,ساعات العمل,"يجب الالتزام بموعد بداية الدوام.
يتم تسجيل الحضور إلكترونيًا.
تحدد ساعات العمل وفق سياسة الشركة.
يتطلب العمل الإضافي موافقة المدير."
hr_attendance,سياسة الدوام والحضور,ar,hr,المشكلات الشائعة,"التأخر عن الدوام
نسيان تسجيل الحضور
نسيان تسجيل الانصراف
الغياب المفاجئ
وجود خطأ في سجل الحضور"
hr_attendance,سياسة الدوام والحضور,ar,hr,إجراءات الحضور,"سجل حضورك عند بداية الدوام.
سجل انصرافك قبل مغادرة العمل.
أبلغ الموارد البشرية بأي مشكلة في السجل.
أبلغ مديرك في حال الغياب."
hr_attendance,سياسة الدوام والحضور,ar,hr,أفضل الممارسات,"الالتزام بمواعيد الدوام.
استخدام نظام الحضور بشكل دائم.
إبلاغ المدير عند التأخير.
مراجعة سجل الحضور بشكل دوري."
hr_attendance,سياسة الدوام والحضور,ar,hr,الأسئلة الشائعة,"{'question': 'نسيت تسجيل الحضور، ماذا أفعل؟', 'answer': 'أبلغ قسم الموارد البشرية أو مديرك المباشر بأسرع وقت.'}
{'question': 'هل يمكن تعديل سجل الحضور؟', 'answer': 'نعم، بعد التحقق ووفقًا لسياسة الشركة.'}
{'question': 'من يوافق على ساعات العمل الإضافية؟', 'answer': 'المدير المباشر.'}"
hr_employee_benefits,مزايا الموظفين,ar,hr,نظرة عامة,مزايا الموظفين هي المزايا الإضافية التي تقدمها الشركة إلى جانب الراتب، مثل التأمين الصحي، والبدلات، وبرامج التدريب، وبرامج الرفاهية.
hr_employee_benefits,مزايا الموظفين,ar,hr,المزايا المتاحة,"التأمين الطبي
التأمين على الحياة
بدل المواصلات
بدل السكن
برامج التدريب
خصومات الموظفين
برامج الرفاهية"
hr_employee_benefits,مزايا الموظفين,ar,hr,شروط الاستحقاق,"قد تختلف المزايا حسب نوع عقد العمل.
تتوفر بعض المزايا بعد انتهاء فترة التجربة.
بعض المزايا تتطلب موافقة قسم الموارد البشرية."
hr_employee_benefits,مزايا الموظفين,ar,hr,كيفية طلب المزايا,"قدّم الطلب عبر بوابة الموارد البشرية.
أرفق المستندات المطلوبة.
انتظر مراجعة وموافقة قسم الموارد البشرية."
hr_employee_benefits,مزايا الموظفين,ar,hr,أفضل الممارسات,"راجع المزايا المتاحة بشكل دوري.
حدّث بياناتك الشخصية باستمرار.
تواصل مع الموارد البشرية عند وجود أي استفسار."
hr_employee_benefits,مزايا الموظفين,ar,hr,الأسئلة الشائعة,"{'question': 'هل أستحق التأمين الطبي؟', 'answer': 'يعتمد ذلك على سياسة الشركة وحالة التوظيف الخاصة بك.'}
{'question': 'كيف أحدث بيانات التأمين؟', 'answer': 'قدّم طلب التحديث عبر بوابة الموارد البشرية أو تواصل مع القسم.'}
{'question': 'هل يمكنني طلب مزايا إضافية؟', 'answer': 'قد تكون بعض المزايا الإضافية متاحة حسب سياسة الشركة.'}"
hr_leave_policy,سياسة الإجازات,ar,hr,نظرة عامة,يحق للموظفين الحصول على أنواع مختلفة من الإجازات وفقًا لسياسة الشركة. يجب تقديم طلب الإجازة من خلال نظام الموارد البشرية والحصول على موافقة المدير المباشر قبل بدء الإجازة.
hr_leave_policy,سياسة الإجازات,ar,hr,أنواع الإجازات,"الإجازة السنوية
الإجازة المرضية
الإجازة الطارئة
إجازة الأمومة
إجازة الأبوة
الإجازة بدون راتب"
hr_leave_policy,سياسة الإجازات,ar,hr,شروط الاستحقاق,"يستحق الموظف الإجازة السنوية وفق سياسة الشركة.
قد تتطلب الإجازة المرضية تقريرًا طبيًا.
الإجازة الطارئة تخضع لموافقة المدير."
hr_leave_policy,سياسة الإجازات,ar,hr,خطوات طلب الإجازة,"قدّم طلب الإجازة عبر نظام الموارد البشرية.
حدد نوع الإجازة.
حدد تاريخ البداية والنهاية.
أرفق المستندات المطلوبة عند الحاجة.
انتظر موافقة المدير قبل بدء الإجازة."
hr_leave_policy,سياسة الإجازات,ar,hr,أفضل الممارسات,"قدّم طلب الإجازة مبكرًا.
تحقق من رصيد الإجازات قبل تقديم الطلب.
أبلغ مديرك بأي غياب طارئ."
hr_leave_policy,سياسة الإجازات,ar,hr,الأسئلة الشائعة,"{'question': 'كيف أطلب إجازة سنوية؟', 'answer': 'قدّم طلبًا عبر نظام الموارد البشرية وانتظر موافقة المدير.'}
{'question': 'هل يمكنني إلغاء طلب الإجازة؟', 'answer': 'نعم، إذا لم تتم الموافقة عليه أو حسب سياسة الشركة.'}
{'question': 'هل أحتاج إلى تقرير طبي للإجازة المرضية؟', 'answer': 'قد يتطلب الأمر تقريرًا طبيًا حسب سياسة الشركة.'}"
hr_onboarding,برنامج تهيئة الموظفين الجدد,ar,hr,نظرة عامة,يساعد برنامج تهيئة الموظفين الجدد على تعريف الموظف بالشركة وأنظمتها وسياساتها وبيئة العمل، مما يضمن انتقالًا سلسًا إلى وظيفته الجديدة.
hr_onboarding,برنامج تهيئة الموظفين الجدد,ar,hr,خطوات التهيئة,"استكمال مستندات التوظيف.
استلام حسابات العمل والأجهزة.
حضور جلسة التعريف بالشركة.
التعرف على المدير وفريق العمل.
إكمال الدورات التدريبية الإلزامية.
مراجعة سياسات الشركة."
hr_onboarding,برنامج تهيئة الموظفين الجدد,ar,hr,المستندات المطلوبة,"هوية شخصية سارية.
عقد العمل.
بيانات الحساب البنكي.
بيانات شخص للطوارئ.
نماذج التأمين أو الضرائب عند الحاجة."
hr_onboarding,برنامج تهيئة الموظفين الجدد,ar,hr,مسؤوليات الموظف,"استكمال جميع النماذج المطلوبة.
حضور جلسات التهيئة.
قراءة سياسات الشركة.
طرح الأسئلة عند الحاجة."
hr_onboarding,برنامج تهيئة الموظفين الجدد,ar,hr,أفضل الممارسات,"إنهاء جميع مهام التهيئة في الوقت المحدد.
تحديث معلومات الاتصال باستمرار.
المشاركة الفعالة في جلسات التعريف.
الاطلاع على الوثائق الداخلية بشكل دوري."
hr_onboarding,برنامج تهيئة الموظفين الجدد,ar,hr,الأسئلة الشائعة,"{'question': 'متى يبدأ برنامج التهيئة؟', 'answer': 'عادةً يبدأ في أول يوم عمل للموظف.'}
{'question': 'مع من أتواصل إذا كان لدي سؤال؟', 'answer': 'تواصل مع قسم الموارد البشرية أو مديرك المباشر.'}
{'question': 'ماذا أفعل إذا كان ينقصني أحد المستندات؟', 'answer': 'أبلغ قسم الموارد البشرية بأقرب وقت للحصول على التعليمات.'}"
hr_payroll,الرواتب وكشوف الرواتب,ar,hr,نظرة عامة,تشمل الرواتب الراتب الأساسي، والبدلات، والعمل الإضافي، والمكافآت، والخصومات، ويتم صرفها وفق جدول الرواتب المعتمد في الشركة.
hr_payroll,الرواتب وكشوف الرواتب,ar,hr,مكونات الراتب,"الراتب الأساسي
البدلات
العمل الإضافي
المكافآت
الضرائب
الخصومات التأمينية"
hr_payroll,الرواتب وكشوف الرواتب,ar,hr,المشكلات الشائعة,"عدم نزول الراتب
خطأ في مبلغ الراتب
عدم احتساب العمل الإضافي
خصومات غير صحيحة
عدم توفر كشف الراتب"
hr_payroll,الرواتب وكشوف الرواتب,ar,hr,إجراءات الرواتب,"تتم معالجة الرواتب شهريًا.
يستلم الموظف كشف راتب إلكتروني.
يجب إبلاغ الموارد البشرية بأي مشكلة.
يتم تحويل الراتب إلى الحساب البنكي المسجل."
hr_payroll,الرواتب وكشوف الرواتب,ar,hr,أفضل الممارسات,"راجع كشف الراتب كل شهر.
أبلغ عن أي خطأ فورًا.
حدّث بياناتك البنكية عند الحاجة."
hr_payroll,الرواتب وكشوف الرواتب,ar,hr,الأسئلة الشائعة,"{'question': 'متى يتم صرف الراتب؟', 'answer': 'يتم صرف الرواتب حسب جدول الرواتب الشهري المعتمد في الشركة.'}
{'question': 'وجدت خصمًا غير صحيح، ماذا أفعل؟', 'answer': 'تواصل مع قسم الموارد البشرية وأرفق كشف الراتب.'}
{'question': 'كيف أحصل على كشف الراتب؟', 'answer': 'يمكنك تنزيله من نظام الموارد البشرية.'}"
hr_resignation,إجراءات الاستقالة وإنهاء الخدمة,ar,hr,نظرة عامة,يجب على الموظف الذي يرغب في الاستقالة الالتزام بسياسة الشركة، وتقديم طلب استقالة رسمي، وإكمال فترة الإشعار، وإنهاء جميع إجراءات إخلاء الطرف.
hr_resignation,إجراءات الاستقالة وإنهاء الخدمة,ar,hr,خطوات الاستقالة,"تقديم خطاب استقالة رسمي.
إبلاغ المدير المباشر.
إكمال فترة الإشعار.
إعادة جميع ممتلكات الشركة.
حضور مقابلة إنهاء الخدمة.
استكمال إجراءات إخلاء الطرف."
hr_resignation,إجراءات الاستقالة وإنهاء الخدمة,ar,hr,فترة الإشعار,"تحدد فترة الإشعار وفقًا لعقد العمل.
يجب إنهاء المهام الموكلة قبل المغادرة.
أي استثناء يتطلب موافقة الإدارة."
