text,label
how can i create an account?,support
what payment methods do you accept?,sales
how can i track my order?,support
what is your return policy?,support
can i cancel my order?,support
how long does shipping take?,sales
do you offer international shipping?,sales
what should i do if my package is lost or damaged?,support
can i change my shipping address after placing an order?,support
how can i contact customer support?,support
do you offer gift wrapping services?,sales
what is your price matching policy?,sales
can i order by phone?,sales
are my personal and payment details secure?,support
what is your price adjustment policy?,sales
do you have a loyalty program?,sales
can i order without creating an account?,sales
do you offer bulk or wholesale discounts?,sales
can i change or cancel an item in my order?,support
how can i leave a product review?,sales
can i use multiple promo codes on a single order?,sales
what should i do if i receive the wrong item?,support
do you offer expedited shipping?,sales
can i order a product that is out of stock?,sales
what is your email newsletter about?,sales
can i return a product if i changed my mind?,support
do you offer live chat support?,support
can i order a product as a gift?,sales
what should i do if my discount code is not working?,sales
can i return a product if it was a final sale item?,support
do you offer installation services for your products?,sales
can i order a product that is discontinued?,sales
can i return a product without a receipt?,support
can i order a product for delivery to a different country?,sales
can i add a gift message to my order?,sales
can i request a product demonstration before making a purchase?,sales
can i order a product that is listed as 'coming soon'?,sales
can i request an invoice for my order?,support
can i order a product that is labeled as 'limited edition'?,sales
can i return a product if i no longer have the original packaging?,support
can i request a product that is currently out of stock to be reserved for me?,sales
can i order a product that is listed as 'pre-order' with other in-stock items?,sales
can i return a product if it was damaged during shipping?,support
can i request a product that is out of stock to be restocked?,sales
can i order a product if it is listed as 'backordered'?,sales
can i return a product if it was purchased during a sale or with a discount?,support
can i request a product repair or replacement if it is damaged?,support
can i order a product if it is listed as 'out of stock' but available for pre-order?,sales
can i return a product if it was purchased as a gift?,support
can i request a product if it is listed as 'discontinued'?,sales
can i order a product if it is listed as 'sold out'?,sales
can i return a product if it was purchased with a gift card?,support
can i request a product if it is not currently available in my size?,sales
can i order a product if it is listed as 'coming soon' but available for pre-order?,sales
can i return a product if it was purchased with a discount code?,support
can i request a custom order or personalized product?,sales
can i order a product if it is listed as 'temporarily unavailable'?,sales
can i return a product if it was damaged due to improper use?,support
can i request a product if it is listed as 'coming soon' but not available for pre-order?,sales
can i order a product if it is listed as 'on hold'?,sales
can i return a product if i no longer have the original receipt?,support
can i request a product that is listed as 'limited edition' to be restocked?,sales
can i order a product if it is listed as 'discontinued' but still visible on the website?,sales
can i return a product if it was a clearance or final sale item?,support
can i request a product if it is not listed on your website?,sales
can i order a product if it is listed as 'out of stock' but available for backorder?,sales
can i return a product if it was purchased as part of a bundle or set?,support
can i request a product that is listed as 'out of stock' to be restocked?,sales
can i order a product if it is listed as 'coming soon' and available for pre-order?,sales
can i return a product if it was damaged due to mishandling during shipping?,support
can i request a product that is listed as 'out of stock' to be reserved for me?,sales
can i order a product if it is listed as 'pre-order' but available for backorder?,sales
can i return a product if it was purchased with store credit?,support
can i request a product that is currently out of stock to be restocked?,sales
can i order a product if it is listed as 'sold out' but available for pre-order?,sales
can i return a product if it was purchased with a promotional gift card?,support
can i request a product if it is not currently available in my preferred color?,sales
can i order a product if it is listed as 'coming soon' and not available for pre-order?,sales
can i return a product if it was purchased during a promotional event?,support
how can i reset my password?,support
how do i update my account information?,support
what is your privacy policy?,support
can i change my order after it has been placed?,support
how do i unsubscribe from your newsletter?,support
what are your business hours?,support
do you offer a satisfaction guarantee?,support
how can i apply for a job at your company?,support
what is the warranty on your products?,support
can i request a refund if the price drops after my purchase?,support
